1393392489.99, 00:28 on Feb 26 201433.9, 66, 29.99, 24, 0.00
1393396089.92, 01:28 on Feb 26 201435.9, 58, 29.98, 23, 0.00
1393399689.76, 02:28 on Feb 26 201436.1, 56, 29.96, 22, 0.00
1393403289.87, 03:28 on Feb 26 201436.5, 57, 29.94, 23, 0.00
1393406889.68, 04:28 on Feb 26 201436.3, 57, 29.92, 22, 0.00
1393410489.52, 05:28 on Feb 26 201436.0, 60, 29.92, 24, 0.00
1393414089.65, 06:28 on Feb 26 201435.6, 65, 29.92, 25, 0.00
1393417689.54, 07:28 on Feb 26 201435.5, 68, 29.94, 26, 0.00
1393421289.3, 08:28 on Feb 26 201436.2, 70, 29.95, 27, 0.00
1393424889.29, 09:28 on Feb 26 201438.0, 68, 29.97, 28, 0.00
1393428489.27, 10:28 on Feb 26 201439.4, 66, 29.96, 29, 0.00
1393432089.19, 11:28 on Feb 26 201441.2, 57, 29.94, 27, 0.00
1393435689.07, 12:28 on Feb 26 201441.7, 51, 29.91, 25, 0.00
1393439289.05, 13:28 on Feb 26 201444.4, 44, 29.88, 24, 0.00
1393442889.08, 14:28 on Feb 26 201447.2, 41, 29.84, 25, 0.00
1393446488.84, 15:28 on Feb 26 201449.8, 38, 29.81, 25, 0.00
1393450088.91, 16:28 on Feb 26 201447.8, 37, 29.79, 23, 0.00
1393453688.76, 17:28 on Feb 26 201445.7, 41, 29.79, 23, 0.00
1393457288.58, 18:28 on Feb 26 201442.1, 46, 29.80, 23, 0.00
1393460888.57, 19:28 on Feb 26 201439.6, 52, 29.81, 23, 0.00
1393464488.52, 20:28 on Feb 26 201437.7, 54, 29.83, 23, 0.00
1393503762.08, 07:22 on Feb 27 201424.8, 70, 29.84, 16, 0.00
1393507362.02, 08:22 on Feb 27 201425.0, 70, 29.86, 17, 0.00
1393510961.57, 09:22 on Feb 27 201433.9, 52, 29.87, 18, Error getting percipitaion.
1393514560.44, 10:22 on Feb 27 201442.7, 38, 29.85, 19, 0.00
1393518160.31, 11:22 on Feb 27 201447.2, 38, 29.84, 23, 0.00
1393521759.85, 12:22 on Feb 27 201450.2, 32, 29.81, 22, 0.00
1393525359.57, 13:22 on Feb 27 201451.7, 28, 29.78, 20, 0.00
1393528959.33, 14:22 on Feb 27 201453.8, 23, 29.76, 17, 0.00
1393532558.88, 15:22 on Feb 27 201454.7, 21, 29.76, 16, 0.00
1393536158.6, 16:22 on Feb 27 201453.7, 19, 29.77, 12, 0.00
1393539759.88, 17:22 on Feb 27 201451.1, 19, 29.79, 10, 0.00
1393543359.6, 18:22 on Feb 27 201447.6, 24, 29.82, 13, 0.00
1393546959.21, 19:22 on Feb 27 201443.6, 27, 29.85, 12, 0.00
1393550559.29, 20:22 on Feb 27 201443.0, 22, 29.88, 7, 0.00
1393588930.15, 07:02 on Feb 28 201426.8, 55, 30.22, 13, 0.00
1393592529.75, 08:02 on Feb 28 201427.2, 56, 30.26, 14, 0.00
1393596129.53, 09:02 on Feb 28 201430.6, 52, 30.30, 15, 0.00
1393599729.53, 10:02 on Feb 28 201432.4, 49, 30.31, 15, 0.00
1393603329.4, 11:02 on Feb 28 201435.5, 44, 30.33, 16, 0.00
1393606929.01, 12:02 on Feb 28 201438.1, 41, 30.34, 16, 0.00
1393610528.82, 13:02 on Feb 28 201441.2, 38, 30.31, 18, 0.00
1393614128.38, 14:02 on Feb 28 201442.3, 35, 30.27, 17, 0.00
1393617728.17, 15:02 on Feb 28 201444.6, 32, 30.26, 17, 0.00
1393621327.88, 16:02 on Feb 28 201444.8, 30, 30.25, 15, 0.00
1393624927.64, 17:02 on Feb 28 201442.4, 31, 30.26, 14, 0.00
1393628528.68, 18:02 on Feb 28 201440.0, 35, 30.27, 15, 0.00
1393632128.3, 19:02 on Feb 28 201437.7, 39, 30.29, 15, 0.00
1393635728.08, 20:02 on Feb 28 201436.6, 40, 30.30, 15, 0.00
1393639327.84, 21:02 on Feb 28 201435.1, 42, 30.29, 14, 0.00
1393676498.55, 07:21 on Mar 01 201429.3, 54, 30.33, 15, 0.00
